id;nomMunicipio;f_nacim;f_destete;alzada;peso;sexo;tipo
373;Cangas del Narcea;10/06/2006;25/10/2006;104;208;M;C
374;Somiedo;01/12/2011;21/05/2012;110;282;M;C
375;Cangas del Narcea;15/09/2009;24/02/2010;104;249;H;C
376;San Emiliano;13/01/2009;08/06/2009;100;204;M;AC
377;Sobrescobio;26/06/2011;13/01/2012;108;228;H;N
378;Llanes;10/03/2006;11/09/2006;105;245;H;C
379;Llanera;22/11/2006;09/05/2007;100;272;M;N
380;Candamo;11/07/2005;20/10/2005;95;165;H;C
381;Cangas del Narcea;08/07/2004;20/11/2004;0;115;M;N
382;Ribera de Arriba;08/09/2009;22/02/2010;98;169;H;C
383;Villaviciosa;30/04/2008;19/01/2009;104;235;H;N
384;Teverga;01/04/2008;01/12/2008;107;297;M;C
385;Alfoz de Lloredo;21/04/2007;25/10/2007;100;188;H;C
386;Cangas del Narcea;06/05/2007;30/01/2008;107;240;H;C
387;Tineo;07/02/2005;14/07/2005;94;203;H;C
388;Cangas del Narcea;12/09/2007;26/03/2008;105;234;H;C
389;Oviedo;02/02/2005;03/11/2005;109;317;M;N
390;Salas;16/03/2012;24/08/2012;101;156;H;C
391;Llanera;06/01/2009;04/06/2009;107;279;M;C
392;Solórzano;28/05/2008;07/11/2008;99;194;H;C
393;Proaza;12/02/2004;06/09/2004;0;0;M;C
394;Somiedo;01/07/2010;23/11/2010;95;157;M;C
395;Tineo;16/04/2004;19/11/2004;103;256;M;C
396;Santa Eulalia de Oscos;08/02/2004;20/09/2004;0;234;H;AC
397;Grado;01/08/2011;03/11/2011;86;128;M;C
398;Valdés;02/04/2008;03/10/2008;109;349;M;N
399;Lena;04/02/2008;01/10/2008;111;249;H;N
400;Gozón;01/07/2005;03/01/2006;103;221;H;C
401;Siero;15/04/2008;07/10/2008;103;218;H;C
402;Cangas del Narcea;12/10/2007;21/02/2008;108;224;H;C
403;Pravia;08/06/2009;18/02/2010;103;257;H;C
404;Rionansa;19/05/2005;24/10/2005;82;122;H;C
405;Illas;18/11/2010;26/04/2011;102;191;H;N
406;Tineo;16/05/2004;27/10/2004;100;190;M;C
407;Llamas de la Ribera;14/09/2008;13/04/2009;111;269;H;N
408;Piloña;22/05/2007;12/12/2007;111;237;H;AC
409;Sariego;10/08/2011;10/11/2011;96;155;H;C
410;Candamo;09/08/2009;04/03/2010;103;218;H;C
411;Morcín;08/08/2006;16/01/2007;101;246;M;C
412;Somiedo;09/05/2007;05/02/2008;101;231;H;C
413;Grado;01/05/2011;13/10/2011;98;172;H;C
414;Tineo;25/06/2006;08/11/2006;101;205;M;C
415;Grado;22/04/2006;22/07/2006;87;119;H;C
416;Mieres;09/03/2011;25/10/2011;108;247;M;C
417;Allande;19/07/2007;20/12/2007;103;228;M;N
418;Candamo;12/04/2008;02/09/2008;108;292;M;N
419;Cangas del Narcea;21/04/2010;15/09/2010;104;197;M;C
420;Gozón;22/10/2009;10/02/2010;105;267;M;C
421;Allande;15/01/2010;10/06/2010;89;149;H;C
422;Tineo;24/04/2006;15/11/2006;112;251;H;C
423;Belmonte de Miranda;23/12/2003;21/10/2004;111;301;H;C
424;Riosa;19/04/2012;08/01/2013;100;171;H;AC
425;Villafranca del Bierzo;18/12/2004;14/06/2005;106;231;H;N
426;Cangas del Narcea;20/06/2005;07/12/2005;98;203;H;C
427;Ceclavín;09/06/2006;15/11/2006;0;189;M;N
428;Valdeolea;26/03/2008;07/11/2008;101;185;H;AC
429;Cangas del Narcea;16/08/2009;19/02/2010;103;242;M;C
430;Allande;09/03/2009;09/10/2009;100;175;H;C
431;Cangas del Narcea;06/09/2007;08/01/2008;95;169;M;C
432;Grado;05/06/2011;30/01/2012;104;205;H;C
433;Cangas del Narcea;28/11/2009;12/04/2010;93;165;H;AC
434;Belmonte de Miranda;12/02/2009;04/08/2009;98;176;H;N
435;Villablino;28/04/2008;19/12/2008;110;277;M;C
436;Llanera;19/01/2005;19/07/2005;0;227;H;N
437;Somiedo;17/04/2009;21/12/2009;105;220;H;C
438;Cangas del Narcea;11/04/2011;03/11/2011;108;230;H;C
439;Belmonte de Miranda;04/08/2008;23/01/2009;104;243;M;C
440;Belmonte de Miranda;10/05/2008;30/01/2009;113;260;H;C
441;Bimenes;10/07/2010;11/11/2010;93;174;H;C
442;Allande;17/06/2003;14/11/2003;0;219;M;C
443;Aller;04/04/2012;13/09/2012;107;231;M;C
444;Tineo;30/01/2006;06/07/2006;102;172;H;C
445;Nava;13/05/2012;20/12/2012;96;177;H;C
446;Corvera de Asturias;02/01/2010;02/06/2010;100;212;M;C
447;Caso;20/04/2005;17/11/2005;92;179;H;AC
448;Villablino;13/09/2010;12/01/2011;99;171;H;C
449;Somiedo;12/02/2004;10/09/2004;104;249;M;C
450;Riosa;09/06/2009;01/12/2009;103;236;M;C
451;Tineo;06/11/2006;12/03/2007;100;202;H;C
452;Balboa;27/02/2011;07/10/2011;107;239;H;AC
453;Llanera;28/02/2010;02/08/2010;104;225;M;C
454;Boñar;10/03/2009;06/11/2009;109;237;H;N
455;Gijón;05/07/2005;15/03/2006;97;231;H;C
456;Tineo;14/04/2010;06/09/2010;100;243;M;C
457;Cangas del Narcea;20/01/2005;19/05/2005;94;170;M;C
458;Morcín;28/08/2004;10/01/2005;98;172;H;C
459;Somiedo;17/01/2011;06/10/2011;103;215;H;C
460;Cangas del Narcea;18/09/2006;20/02/2007;104;210;M;C
461;Grado;11/06/2009;10/12/2009;111;262;H;C
462;Laviana;09/03/2008;26/11/2008;112;317;H;C
463;Oviedo;08/01/2012;03/10/2012;115;295;H;C
464;Somiedo;04/10/2011;23/04/2012;106;267;H;C
465;Azkoitia;05/04/2007;31/07/2007;95;179;H;C
466;San Felices de Buelna;30/04/2010;22/10/2010;100;231;H;AC
467;Somiedo;24/01/2003;08/09/2003;0;171;H;C
468;Somiedo;12/03/2007;25/10/2007;94;178;H;C
469;Valdés;31/03/2008;02/10/2008;108;281;H;C
470;Morcín;16/07/2009;25/02/2010;113;323;M;C
471;Allande;12/11/2010;02/08/2011;111;282;H;C
472;Cangas del Narcea;18/08/2005;01/02/2006;102;190;H;C
473;Cangas de Onís;09/04/2007;25/12/2007;107;257;H;C
474;Campoo de Enmedio;12/03/2009;20/10/2009;114;258;H;N
475;Cangas del Narcea;07/01/2011;16/08/2011;110;238;H;C
476;Gijón;01/04/2009;09/11/2009;106;236;H;C
477;Tineo;16/03/2009;17/08/2009;100;176;H;N
478;Candamo;13/05/2008;12/12/2008;106;215;H;C
479;Cangas del Narcea;23/04/2003;04/10/2003;0;170;H;C
480;Siero;02/07/2005;27/03/2006;111;296;H;N
481;Llanes;23/04/2011;09/12/2011;90;168;H;C
482;Cangas del Narcea;30/10/2005;24/03/2006;103;213;M;C
483;Gozón;28/06/2011;20/01/2012;107;223;H;C
484;Mieres;21/11/2007;17/04/2008;101;180;M;C
485;Llanera;15/01/2011;28/09/2011;112;308;H;C
486;Allande;26/03/2006;11/10/2006;104;270;H;C
487;Sariego;15/04/2006;13/09/2006;104;216;H;AC
488;Somiedo;24/08/2003;17/03/2004;103;545;H;C
489;Somiedo;10/04/2012;07/12/2012;108;255;H;C
490;Cangas del Narcea;29/05/2010;10/09/2010;89;148;H;AC
491;Cangas del Narcea;05/01/2010;06/09/2010;110;274;M;C
492;Piloña;31/01/2005;04/01/2006;111;318;H;C
493;Regueras (Las);26/12/2009;12/04/2010;100;204;H;C
494;Tineo;26/05/2005;09/12/2005;108;266;M;C
495;Somiedo;22/03/2009;25/11/2009;112;301;M;N
496;Cabezón de Liébana;16/02/2006;24/10/2006;104;290;H;AC
497;Quirós;25/07/2010;22/12/2010;99;186;H;AC
498;Belmonte de Miranda;07/02/2007;10/07/2007;100;188;M;C
499;Llanes;28/05/2010;12/11/2010;98;184;H;C
500;Tapia de Casariego;13/04/2011;15/09/2011;95;177;H;C
